index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
0,W36X652,652,192,41.1,17.6,1.97,3.54,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.1,593,1130000,4.96
1,W36X529,529,156,39.8,17.2,1.61,2.91,2.96,19.9,39600,2330,1990,16,2490,454,289,4,327,846000,4.8
2,W36X487,487,143,39.3,17.1,1.5,2.68,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,4.74
3,W36X441,441,130,38.9,17,1.36,2.44,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,4.69
4,W36X395,395,116,38.4,16.8,1.22,2.2,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,4.61
5,W36X361,361,106,38,16.7,1.12,2.01,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,4.58
6,W27X539,539,159,32.5,15.3,1.97,3.54,2.15,12.1,25600,1890,1570,12.7,2110,437,277,3.65,496,443000,4.41
7,W33X387,387,114,36,16.2,1.26,2.28,3.55,23.7,24300,1560,1350,14.6,1620,312,200,3.77,148,459000,4.49
8,W36X330,330,96.9,37.7,16.6,1.02,1.85,4.49,31.4,23300,1410,1240,15.5,1420,265,171,3.83,84.3,456000,4.53
9,W33X354,354,104,35.6,16.1,1.16,2.09,3.85,25.7,22000,1420,1240,14.5,1460,282,181,3.74,115,408000,4.44
10,W36X302,302,89,37.3,16.7,0.945,1.68,4.96,33.9,21100,1280,1130,15.4,1300,241,156,3.82,64.3,412000,4.53
11,W30X391,391,115,33.2,15.6,1.36,2.44,3.19,19.7,20700,1450,1250,13.4,1550,310,198,3.67,173,366000,4.37
12,W36X282,282,82.9,37.1,16.6,0.885,1.57,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.8,52.7,378000,4.5
13,W33X318,318,93.7,35.2,16,1.04,1.89,4.23,28.7,19500,1270,1110,14.5,1290,250,161,3.71,84.4,357000,4.4
14,W30X357,357,105,32.8,15.5,1.24,2.24,3.45,21.6,18700,1320,1140,13.3,1390,279,179,3.64,134,324000,4.31
15,W36X262,262,77.2,36.9,16.6,0.84,1.44,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,4.46
16,W33X291,291,85.6,34.8,15.9,0.96,1.73,4.6,31,17700,1160,1020,14.4,1160,226,146,3.68,65.1,319000,4.34
17,W36X256,256,75.3,37.4,12.2,0.96,1.73,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,3.24
18,W30X326,326,95.9,32.4,15.4,1.14,2.05,3.75,23.4,16800,1190,1040,13.2,1240,252,162,3.6,103,287000,4.26
19,W36X247,247,72.5,36.7,16.5,0.8,1.35,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,4.42
20,W27X368,368,109,30.4,14.7,1.38,2.48,2.96,17.3,16200,1240,1060,12.2,1310,279,179,3.48,170,255000,4.15
21,W33X263,263,77.4,34.5,15.8,0.87,1.57,5.03,34.3,15900,1040,919,14.3,1040,202,131,3.66,48.7,281000,4.31
22,W36X231,231,68.2,36.5,16.5,0.76,1.26,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,4.4
23,W36X232,232,68,37.1,12.1,0.87,1.57,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,3.21
24,W30X292,292,86,32,15.3,1.02,1.85,4.12,26.2,14900,1060,930,13.2,1100,223,144,3.58,75.2,250000,4.22
25,W27X336,336,99.2,30,14.6,1.26,2.28,3.19,18.9,14600,1130,972,12.1,1180,252,162,3.45,131,226000,4.1
26,W14X730,730,215,22.4,17.9,3.07,4.91,1.82,3.71,14300,1660,1280,8.17,4720,816,527,4.69,1450,362000,5.68
27,W33X241,241,71.1,34.2,15.9,0.83,1.4,5.66,35.9,14200,940,831,14.1,933,182,118,3.62,36.2,251000,4.29
28,W24X370,370,109,28,13.7,1.52,2.72,2.51,14.2,13400,1130,957,11.1,1160,267,170,3.27,201,186000,3.92
29,W36X210,210,61.9,36.7,12.2,0.83,1.36,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28,128000,3.18
30,W30X261,261,77,31.6,15.2,0.93,1.65,4.59,28.7,13100,943,829,13.1,959,196,127,3.53,54.1,215000,4.16
31,W27X307,307,90.2,29.6,14.4,1.16,2.09,3.46,20.6,13100,1030,887,12,1050,227,146,3.41,101,199000,4.04
32,W33X221,221,65.3,33.9,15.8,0.775,1.28,6.2,38.5,12900,857,759,14.1,840,164,106,3.59,27.8,224000,4.25
33,W14X665,665,196,21.6,17.7,2.83,4.52,1.95,4.03,12400,1480,1150,7.98,4170,730,472,4.62,1120,305000,5.57
34,W36X194,194,57,36.5,12.1,0.765,1.26,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,3.15
35,W27X281,281,83.1,29.3,14.4,1.06,1.93,3.72,22.5,11900,936,814,12,953,206,133,3.39,79.5,178000,4
36,W24X335,335,98.3,27.5,13.5,1.38,2.48,2.73,15.6,11900,1020,864,11,1030,238,152,3.23,152,161000,3.86
37,W30X235,235,69.3,31.3,15.1,0.83,1.5,5.02,32.2,11700,847,748,13,855,175,114,3.51,40.3,190000,4.13
38,W33X201,201,59.1,33.7,15.7,0.715,1.15,6.85,41.7,11600,773,686,14,749,147,95.2,3.56,20.8,198000,4.21
39,W36X182,182,53.6,36.3,12.1,0.725,1.18,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,3.13
40,W27X258,258,76.1,29,14.3,0.98,1.77,4.03,24.4,10800,852,745,11.9,859,187,120,3.36,61.6,159000,3.96
41,W14X605,605,178,20.9,17.4,2.6,4.16,2.09,4.39,10800,1320,1040,7.8,3680,652,423,4.55,869,258000,5.44
42,W24X306,306,89.7,27.1,13.4,1.26,2.28,2.94,17.1,10700,922,789,10.9,919,214,137,3.2,117,142000,3.81
43,W36X170,170,50,36.2,12,0.68,1.1,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,3.11
44,W30X211,211,62.3,30.9,15.1,0.775,1.32,5.74,34.5,10300,751,665,12.9,757,155,100,3.49,28.4,166000,4.11
45,W36X160,160,47,36,12,0.65,1.02,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.5,12.4,90200,3.09
46,W27X235,235,69.4,28.7,14.2,0.91,1.61,4.41,26.2,9700,772,677,11.8,769,168,108,3.33,47,141000,3.92
47,W24X279,279,81.9,26.7,13.3,1.16,2.09,3.18,18.6,9600,835,718,10.8,823,193,124,3.17,90.5,125000,3.76
48,W14X550,550,162,20.2,17.2,2.38,3.82,2.25,4.79,9430,1180,931,7.63,3250,583,378,4.49,669,219000,5.35
49,W33X169,169,49.5,33.8,11.5,0.67,1.22,4.71,44.7,9290,629,549,13.7,310,84.4,53.9,2.5,17.7,82400,3.03
50,W30X191,191,56.1,30.7,15,0.71,1.19,6.35,37.7,9200,675,600,12.8,673,138,89.5,3.46,21,146000,4.06
51,W36X150,150,44.3,35.9,12,0.625,0.94,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,3.06
52,W27X217,217,63.9,28.4,14.1,0.83,1.5,4.71,28.7,8910,711,627,11.8,704,154,100,3.32,37.6,128000,3.89
53,W24X250,250,73.5,26.3,13.2,1.04,1.89,3.49,20.7,8490,744,644,10.7,724,171,110,3.14,66.6,108000,3.71
54,W30X173,173,50.9,30.4,15,0.655,1.07,7.04,40.8,8230,607,541,12.7,598,123,79.8,3.42,15.6,129000,4.03
55,W14X500,500,147,19.6,17,2.19,3.5,2.43,5.21,8210,1050,838,7.48,2880,522,339,4.43,514,187000,5.26
56,W33X152,152,44.9,33.5,11.6,0.635,1.06,5.48,47.2,8160,559,487,13.5,273,73.9,47.2,2.47,12.4,71700,3.01
57,W27X194,194,57.1,28.1,14,0.75,1.34,5.24,31.8,7860,631,559,11.7,619,136,88.1,3.29,27.1,111000,3.85
58,W24X229,229,67.2,26,13.1,0.96,1.73,3.79,22.5,7650,675,588,10.7,651,154,99.4,3.11,51.3,96100,3.67
59,W33X141,141,41.5,33.3,11.5,0.605,0.96,6.01,49.6,7450,514,448,13.4,246,66.9,42.7,2.43,9.7,64400,2.98
60,W14X455,455,134,19,16.8,2.02,3.21,2.62,5.66,7190,936,756,7.33,2560,468,304,4.38,395,160000,5.17
61,W27X178,178,52.5,27.8,14.1,0.725,1.19,5.92,32.9,7020,570,505,11.6,555,122,78.8,3.25,20.1,98400,3.83
62,W18X311,311,91.6,22.3,12,1.52,2.74,2.19,10.4,6970,754,624,8.72,795,207,132,2.95,176,76200,3.53
63,W24X207,207,60.7,25.7,13,0.87,1.57,4.14,24.8,6820,606,531,10.6,578,137,88.8,3.08,38.3,84100,3.62
64,W33X130,130,38.3,33.1,11.5,0.58,0.855,6.73,51.7,6710,467,406,13.2,218,59.5,37.9,2.39,7.37,56600,2.94
65,W30X148,148,43.6,30.7,10.5,0.65,1.18,4.44,41.6,6680,500,436,12.4,227,68,43.3,2.28,14.5,49400,2.77
66,W14X426,426,125,18.7,16.7,1.88,3.04,2.75,6.08,6600,869,706,7.26,2360,434,283,4.34,331,144000,5.11
67,W27X161,161,47.6,27.6,14,0.66,1.08,6.49,36.1,6310,515,458,11.5,497,109,70.9,3.23,15.1,87300,3.79
68,W24X192,192,56.5,25.5,13,0.81,1.46,4.43,26.6,6260,559,491,10.5,530,126,81.8,3.07,30.8,76300,3.6
69,W18X283,283,83.3,21.9,11.9,1.4,2.5,2.38,11.3,6170,676,565,8.61,704,185,118,2.91,134,65900,3.47
70,W14X398,398,117,18.3,16.6,1.77,2.85,2.92,6.44,6000,801,656,7.16,2170,402,262,4.31,273,129000,5.05
71,W30X132,132,38.8,30.3,10.5,0.615,1,5.27,43.9,5770,437,380,12.2,196,58.4,37.2,2.25,9.72,42100,2.75
72,W24X176,176,51.7,25.2,12.9,0.75,1.34,4.81,28.7,5680,511,450,10.5,479,115,74.3,3.04,23.9,68400,3.57
73,W27X146,146,43.2,27.4,14,0.605,0.975,7.16,39.4,5660,464,414,11.5,443,97.7,63.5,3.2,11.3,77200,3.76
74,W18X258,258,76,21.5,11.8,1.28,2.3,2.56,12.5,5510,611,514,8.53,628,166,107,2.88,103,57600,3.42
75,W14X370,370,109,17.9,16.5,1.66,2.66,3.1,6.89,5440,736,607,7.07,1990,370,241,4.27,222,116000,5
76,W30X124,124,36.5,30.2,10.5,0.585,0.93,5.65,46.2,5360,408,355,12.1,181,54,34.4,2.23,7.99,38600,2.73
77,W21X201,201,59.3,23,12.6,0.91,1.63,3.86,20.6,5310,530,461,9.47,542,133,86.1,3.02,40.9,62000,3.55
78,W24X162,162,47.8,25,13,0.705,1.22,5.31,30.6,5170,468,414,10.4,443,105,68.4,3.05,18.5,62600,3.57
79,W30X116,116,34.2,30,10.5,0.565,0.85,6.17,47.8,4930,378,329,12,164,49.2,31.3,2.19,6.43,34900,2.7
80,W18X234,234,68.6,21.1,11.7,1.16,2.11,2.76,13.8,4900,549,466,8.44,558,149,95.8,2.85,78.7,50100,3.37
81,W14X342,342,101,17.5,16.4,1.54,2.47,3.31,7.41,4900,672,558,6.98,1810,338,221,4.24,178,103000,4.95
82,W27X129,129,37.8,27.6,10,0.61,1.1,4.55,39.7,4760,395,345,11.2,184,57.6,36.8,2.21,11.1,32500,2.66
83,W21X182,182,53.6,22.7,12.5,0.83,1.48,4.22,22.6,4730,476,417,9.4,483,119,77.2,3,30.7,54400,3.51
84,W24X146,146,43,24.7,12.9,0.65,1.09,5.92,33.2,4580,418,371,10.3,391,93.2,60.5,3.01,13.4,54600,3.53
85,W30X108,108,31.7,29.8,10.5,0.545,0.76,6.89,49.6,4470,346,299,11.9,146,43.9,27.9,2.15,4.99,30900,2.67
86,W18X211,211,62.3,20.7,11.6,1.06,1.91,3.02,15.1,4330,490,419,8.35,493,132,85.3,2.82,58.6,43400,3.32
87,W14X311,311,91.4,17.1,16.2,1.41,2.26,3.59,8.09,4330,603,506,6.88,1610,304,199,4.2,136,89100,4.87
88,W21X166,166,48.8,22.5,12.4,0.75,1.36,4.57,25,4280,432,380,9.36,435,108,70,2.99,23.6,48500,3.48
89,W27X114,114,33.6,27.3,10.1,0.57,0.93,5.41,42.5,4080,343,299,11,159,49.3,31.5,2.18,7.33,27600,2.65
90,W12X336,336,98.9,16.8,13.4,1.78,2.96,2.26,5.47,4060,603,483,6.41,1190,274,177,3.47,243,57000,4.13
91,W24X131,131,38.6,24.5,12.9,0.605,0.96,6.7,35.6,4020,370,329,10.2,340,81.5,53,2.97,9.5,47100,3.49
92,W18X192,192,56.2,20.4,11.5,0.96,1.75,3.27,16.7,3870,442,380,8.28,440,119,76.8,2.79,44.7,38000,3.28
93,W14X283,283,83.3,16.7,16.1,1.29,2.07,3.89,8.84,3840,542,459,6.79,1440,274,179,4.17,104,77700,4.8
94,W21X147,147,43.2,22.1,12.5,0.72,1.15,5.44,26.1,3630,373,329,9.17,376,92.6,60.1,2.95,15.4,41100,3.46
95,W27X102,102,30,27.1,10,0.515,0.83,6.03,47.1,3620,305,267,11,139,43.4,27.8,2.15,5.28,24000,2.62
96,W12X305,305,89.5,16.3,13.2,1.63,2.71,2.45,5.98,3550,537,435,6.29,1050,244,159,3.42,185,48600,4.05
97,W18X175,175,51.4,20,11.4,0.89,1.59,3.58,18,3450,398,344,8.2,391,106,68.8,2.76,33.8,33300,3.24
98,W14X257,257,75.6,16.4,16,1.18,1.89,4.23,9.71,3400,487,415,6.71,1290,246,161,4.13,79.1,67800,4.75
99,W27X94,94,27.6,26.9,10,0.49,0.745,6.7,49.5,3270,278,243,10.9,124,38.8,24.8,2.12,4.03,21300,2.59
100,W21X132,132,38.8,21.8,12.4,0.65,1.04,6.01,28.9,3220,333,295,9.12,333,82.3,53.5,2.93,11.3,36000,3.43
101,W12X279,279,81.9,15.9,13.1,1.53,2.47,2.66,6.35,3110,481,393,6.16,937,220,143,3.38,143,42000,4
102,W18X158,158,46.3,19.7,11.3,0.81,1.44,3.92,19.8,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,29000,3.2
103,W14X233,233,68.5,16,15.9,1.07,1.72,4.62,10.7,3010,436,375,6.63,1150,221,145,4.1,59.5,59000,4.69
